Image,u,v,pitch,yaw,A_E,A_N,F_E,F_N
DJI_0907.JPG,421,468,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295420.41,2155295.4
DJI_0907.JPG,346,467,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295420.68,2155294.76
DJI_0907.JPG,458,224,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295418.44,2155294.53
DJI_0907.JPG,592,69,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295416.78,2155294.93
DJI_0907.JPG,691,117,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295416.76,2155296.03
DJI_0907.JPG,633,278,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295418.19,2155296.31
DJI_0907.JPG,627,51,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295416.51,2155295.15
DJI_0907.JPG,622,108,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295416.95,2155295.39
DJI_0907.JPG,589,133,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295417.27,2155295.22
DJI_0907.JPG,709,212,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295417.4,2155296.65
DJI_0907.JPG,558,287,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295418.54,2155295.7
DJI_0907.JPG,673,243,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295417.77,2155296.48
DJI_0907.JPG,684,180,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295417.26,2155296.28
DJI_0907.JPG,516,294,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295418.75,2155295.38
DJI_0907.JPG,424,517,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295420.77,2155295.66
DJI_0907.JPG,531,152,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295417.63,2155294.81
DJI_0907.JPG,372,518,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295420.97,2155295.23
DJI_0907.JPG,714,136,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295416.81,2155296.32
DJI_0907.JPG,620,182,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295417.52,2155295.73
DJI_0907.JPG,660,97,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295416.73,2155295.66
DJI_0907.JPG,664,118,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295416.87,2155295.8
DJI_0907.JPG,653,235,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295417.79,2155296.27
DJI_0907.JPG,562,246,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295418.21,2155295.54
DJI_0907.JPG,385,525,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295420.97,2155295.37
DJI_0907.JPG,513,195,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295418.02,2155294.87
DJI_0907.JPG,565,163,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295417.58,2155295.16
DJI_0907.JPG,592,211,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295417.84,2155295.63
DJI_0907.JPG,552,115,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295417.27,2155294.81
DJI_0907.JPG,522,251,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295418.4,2155295.22
DJI_0907.JPG,443,220,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295418.47,2155294.38
DJI_0907.JPG,641,158,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295417.26,2155295.8
DJI_0907.JPG,419,291,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295419.09,2155294.53
DJI_0907.JPG,556,227,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295418.1,2155295.4
DJI_0907.JPG,425,493,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295420.58,2155295.56
DJI_0907.JPG,633,136,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295417.12,2155295.62
DJI_0907.JPG,581,304,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295418.58,2155295.98
DJI_0907.JPG,417,332,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295419.41,2155294.71
DJI_0907.JPG,590,251,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295418.15,2155295.81
DJI_0907.JPG,535,196,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295417.94,2155295.06
DJI_0907.JPG,525,231,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295418.24,2155295.15
DJI_0907.JPG,573,104,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295417.11,2155294.94
DJI_0907.JPG,559,369,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295419.15,2155296.11
DJI_0907.JPG,597,298,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295418.47,2155296.09
DJI_0907.JPG,615,204,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295417.7,2155295.79
DJI_0907.JPG,535,293,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295418.67,2155295.53
DJI_0907.JPG,493,235,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295418.39,2155294.89
DJI_0907.JPG,3124,761,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295412.73,2155319.33
DJI_0907.JPG,3146,773,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295412.74,2155319.55
DJI_0907.JPG,3851,429,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295407.29,2155324.43
DJI_0907.JPG,3931,386,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295406.63,2155324.99
DJI_0907.JPG,3899,454,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295407.32,2155324.91
DJI_0907.JPG,3756,99,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295404.88,2155322.68
DJI_0907.JPG,3966,147,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295404.49,2155324.64
DJI_0907.JPG,3406,585,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295410.24,2155321.13
DJI_0907.JPG,3832,395,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295407.08,2155324.17
DJI_0907.JPG,3803,40,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295404.21,2155322.93
DJI_0907.JPG,3906,252,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295405.6,2155324.41
