Image,u,v
DJI_0907.JPG,3908,132
DJI_0907.JPG,3904,338
DJI_0907.JPG,3863,19
DJI_0907.JPG,3701,349
DJI_0907.JPG,3983,90
DJI_0907.JPG,3579,607
DJI_0907.JPG,3957,412
DJI_0907.JPG,3778,196
DJI_0907.JPG,3704,634
DJI_0907.JPG,3418,581
DJI_0907.JPG,3356,747
DJI_0907.JPG,3839,70
DJI_0907.JPG,3609,725
DJI_0907.JPG,3656,594
DJI_0907.JPG,3758,214
DJI_0907.JPG,3723,282
DJI_0907.JPG,3731,187
DJI_0907.JPG,3826,726
DJI_0907.JPG,3677,533
DJI_0907.JPG,3816,312
DJI_0907.JPG,3809,84
DJI_0907.JPG,3748,50
DJI_0907.JPG,3831,618
DJI_0907.JPG,3859,180
DJI_0907.JPG,3679,701
DJI_0907.JPG,3915,161
DJI_0907.JPG,3659,203
DJI_0907.JPG,3441,608
DJI_0907.JPG,3489,678
DJI_0907.JPG,3798,125
DJI_0907.JPG,3777,258
DJI_0907.JPG,3719,238
DJI_0907.JPG,3754,286
DJI_0907.JPG,3745,379
DJI_0907.JPG,3817,326
DJI_0907.JPG,3850,581
DJI_0907.JPG,3769,70
DJI_0907.JPG,3686,163
DJI_0907.JPG,3717,708
DJI_0907.JPG,3957,166
DJI_0907.JPG,3879,403
DJI_0907.JPG,3506,676
DJI_0907.JPG,3511,638
DJI_0907.JPG,3763,39
DJI_0907.JPG,3519,741
DJI_0907.JPG,3892,360
DJI_0907.JPG,3671,783
DJI_0907.JPG,3620,761
DJI_0907.JPG,3462,702
DJI_0907.JPG,3408,726
DJI_0907.JPG,3950,151
DJI_0907.JPG,3356,767
DJI_0907.JPG,3905,423
DJI_0907.JPG,3253,789
DJI_0907.JPG,3747,276
DJI_0907.JPG,3676,14
DJI_0907.JPG,3773,672
DJI_0907.JPG,3853,471
DJI_0907.JPG,3978,69
DJI_0907.JPG,3405,601
DJI_0907.JPG,3894,672
DJI_0907.JPG,3741,632
DJI_0907.JPG,3956,507
DJI_0907.JPG,3555,746
DJI_0907.JPG,3229,761
DJI_0907.JPG,3338,772
DJI_0907.JPG,3867,286
DJI_0907.JPG,3425,712
DJI_0907.JPG,3949,66
DJI_0907.JPG,3839,383
DJI_0907.JPG,3364,710
DJI_0907.JPG,3832,499
DJI_0907.JPG,3891,165
DJI_0907.JPG,3987,596
DJI_0907.JPG,3617,175
DJI_0907.JPG,3702,89
DJI_0907.JPG,3595,681
DJI_0907.JPG,3708,148
DJI_0907.JPG,3945,296
DJI_0907.JPG,3836,242
DJI_0907.JPG,3373,766
DJI_0907.JPG,3787,495
DJI_0907.JPG,3700,428
DJI_0907.JPG,3884,76
DJI_0907.JPG,3692,80
DJI_0907.JPG,3890,27
DJI_0907.JPG,3774,141
DJI_0907.JPG,3815,588
DJI_0907.JPG,3815,550
DJI_0907.JPG,3436,739
DJI_0907.JPG,3586,134
DJI_0907.JPG,3466,607
DJI_0907.JPG,3874,723
DJI_0907.JPG,3862,89
DJI_0907.JPG,3914,121
DJI_0907.JPG,3987,409
DJI_0907.JPG,3939,325
DJI_0907.JPG,3562,165
DJI_0907.JPG,3518,669
DJI_0907.JPG,3732,272
DJI_0907.JPG,3509,652
DJI_0907.JPG,3971,481
DJI_0907.JPG,3934,354
DJI_0907.JPG,3902,299
DJI_0907.JPG,3395,559
DJI_0907.JPG,3649,68
DJI_0907.JPG,3755,500
DJI_0907.JPG,3796,696
DJI_0907.JPG,3776,292
DJI_0907.JPG,3620,625
